method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Inverse variance weighted,2,0.384992112636342,0.282237493798635,0.172545073461756,ACTN1,ENSG00000072110,BBJ_Graves,1.46960273010427,0.845190380014763,2.55532035787273,,,0.958791503893685,0.327491545429361,,,2,2,1,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.260810530936199,0.210159480658826,0.214601151522693,ACTN4,ENSG00000130402,BBJ_Graves,0.770426877846631,0.510317033018831,1.16311534929034,,,,,,,2,1,1,1,log_odds,log_odds,FALSE
Wald ratio,1,0.393454580961021,0.159160426986963,0.0134335891537497,ACVR1B,ENSG00000135503,BBJ_Graves,1.48209196701056,1.08491337388374,2.02467464366662,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.270103714022026,0.182402695110689,0.138657241593654,ACVR1C,ENSG00000123612,BBJ_Graves,0.763300325284705,0.533864618037512,1.09133920266429,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,0.150131134436035,0.117774629887265,0.202403981320644,ACVR2A,ENSG00000121989,BBJ_Graves,1.1619866091965,0.922463804507912,1.46370282861368,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,0.046354570824739,0.0693304573705343,0.503748583180216,ACVR2B,ENSG00000114739,BBJ_Graves,1.04744573882152,0.914357975946399,1.19990485634444,,,,,,,2,1,1,1,log_odds,log_odds,FALSE
Inverse variance weighted,4,0.022863569916953,0.0843315329017618,0.786302344623664,ACVRL1,ENSG00000139567,BBJ_Graves,1.02312694473093,0.867251525114043,1.20701862691656,-0.0629077367498998,0.15748603915926,4.98506911351249,0.172893727675965,,,4,4,0,0,log_odds,log_odds,FALSE
MR Egger,4,0.184605629823585,0.098116864085848,0.200632250465017,ACVRL1,ENSG00000139567,BBJ_Graves,1.20274402021388,0.992326171540455,1.45777993128469,-0.0629077367498998,0.15748603915926,4.98506911351249,0.172893727675965,,,4,4,0,0,log_odds,log_odds,FALSE
Weighted median,4,0.0416663334761123,0.0666619432295051,0.531945273396482,ACVRL1,ENSG00000139567,BBJ_Graves,1.04254655782327,0.914853738375518,1.18806239690197,-0.0629077367498998,0.15748603915926,4.98506911351249,0.172893727675965,,,4,4,0,0,log_odds,log_odds,FALSE
Weighted mode,4,0.0414014962095244,0.527618310540433,0.942396069767158,ACVRL1,ENSG00000139567,BBJ_Graves,1.04227048920085,0.370563524630752,2.93155613127721,-0.0629077367498998,0.15748603915926,4.98506911351249,0.172893727675965,,,4,4,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,3,0.0128226128131362,0.0908611337399327,0.887772625990573,ADA,ENSG00000196839,BBJ_Graves,1.01290517502316,0.847668864593736,1.21035104206691,0.0261745175291159,0.656052280393874,3.43433234564507,0.179574310109864,,,3,3,0,0,log_odds,log_odds,FALSE
MR Egger,3,-0.0711345854630967,0.178146286008233,0.758143992705708,ADA,ENSG00000196839,BBJ_Graves,0.931336539333004,0.656848877462299,1.32052863186413,0.0261745175291159,0.656052280393874,3.43433234564507,0.179574310109864,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted median,3,-0.00763292942347603,0.0736198428008668,0.917423038762736,ADA,ENSG00000196839,BBJ_Graves,0.992396127405739,0.859050283624842,1.14644054307769,0.0261745175291159,0.656052280393874,3.43433234564507,0.179574310109864,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted mode,3,-0.0216963038564136,0.241742869766583,0.936664926045494,ADA,ENSG00000196839,BBJ_Graves,0.978537367954871,0.60925868667404,1.57164009545971,0.0261745175291159,0.656052280393874,3.43433234564507,0.179574310109864,,,3,3,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,2,0.147821240821646,0.0976362612680622,0.130025992073106,ADAM10,ENSG00000137845,BBJ_Graves,1.15930564131525,0.957388674752582,1.40380767542785,,,2.60028751633367,0.106844330258519,,,3,2,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,2,-0.154444559184003,0.336149927529732,0.645910035263286,ADAM12,ENSG00000148848,BBJ_Graves,0.856890997561341,0.443393156022022,1.65600702611026,,,4.2372529163949,0.0395461056650243,,,2,2,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,2,-0.0271611229792608,0.201613322963942,0.892834137676621,ADAM17,ENSG00000151694,BBJ_Graves,0.973204423295055,0.655522116805317,1.44484346941165,,,0.321977823966966,0.570421462562918,,,2,2,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,2,-0.454786746853418,0.202861156314575,0.0249702833371871,ADAM23,ENSG00000114948,BBJ_Graves,0.634583280401126,0.426392662955905,0.94442511504073,,,0.164404862522589,0.685133025042449,,,2,2,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,2,-0.16501693310195,0.268359439949612,0.538614084868418,ADAM28,ENSG00000042980,BBJ_Graves,0.847879346738939,0.50107402445768,1.43471693110519,,,2.86889708724048,0.0903067368576328,,,3,2,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,2,-0.403659203185873,0.188110102288171,0.0318836157721681,ADAM8,ENSG00000151651,BBJ_Graves,0.667871691033751,0.461923953773502,0.965640755454301,,,0.0782667366248142,0.77966016244349,,,2,2,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.383839958223231,0.192523518210292,0.0461815438833751,ADAM9,ENSG00000168615,BBJ_Graves,0.681240445386868,0.467112078221811,0.993527177026927,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.293934788794648,0.140824701999371,0.0368665494526978,ADAMDEC1,ENSG00000134028,BBJ_Graves,0.745325093406295,0.565553034348653,0.982241206610947,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,2,-0.0882039664541364,0.106413739876194,0.40717366572382,ADAMTS1,ENSG00000154734,BBJ_Graves,0.915574111272054,0.743211292913947,1.12791067792436,,,0.470296899774352,0.492850612479025,,,2,2,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.125835504538546,0.172159519269958,0.464825646363713,ADAMTS13,ENSG00000160323,BBJ_Graves,0.881759880352817,0.629223875755515,1.23565000718745,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,4,0.00604403695601408,0.146527167888352,0.967097728905263,ADAMTS17,ENSG00000140470,BBJ_Graves,1.00606233900154,0.754915684517471,1.34076089650226,0.00958693769069577,0.857728972513953,0.313380364162061,0.957492663212805,,,5,4,1,1,log_odds,log_odds,FALSE
MR Egger,4,-0.0633092749089307,0.371322402156157,0.880307272406892,ADAMTS17,ENSG00000140470,BBJ_Graves,0.938653126932615,0.453345304113983,1.9434847669203,0.00958693769069577,0.857728972513953,0.313380364162061,0.957492663212805,,,5,4,1,1,log_odds,log_odds,FALSE
